Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Rapala Trophies,PSP,2006,Sports,Activision,0.04,0,0,0,,,,,Sand Grain Studios,E
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,0.32,84,70,8.1,733,Nintendo,E
Robots,PS2,2005,Action,Vivendi Games,0.18,0.14,0,0.05,53,6,6,8,Eurocom Entertainment Software,E
Hamster Club 3,GBA,2002,Simulation,Jorudan,0,0,0.35,0.01,,,,,"",""
Formula 1 06,PS2,2006,Racing,Sony Computer Entertainment,0,0,0.04,0,,,,,"",""
My Ballet Studio,Wii,2009,Simulation,505 Games,0.02,0,0,0,,,,,505 Games,E
EVE Online,PC,2003,Role-Playing,CCP,0,0.19,0,0.01,69,22,7.5,280,CCP,T
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,2007,Shooter,THQ,0.01,0.04,0,0.01,82,44,8.4,1088,GSC Game World,M
Madden NFL 2003,XB,2002,Sports,Electronic Arts,0.67,0.02,0,0.03,92,16,8.3,16,EA Tiburon,E
Shin Super Robot Taisen,PS,1996,Role-Playing,Banpresto,0,0,0.52,0.04,,,,,"",""
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.62,0.56,0,0.11,78,22,6.1,402,Ubisoft Quebec,M
Pro Yaky? Spirits 2012,PSV,2012,Sports,Konami Digital Entertainment,0,0,0.06,0,,,,,"",""
Devil's Third,WiiU,2015,Action,Nintendo,0.04,0.02,0,0.01,43,54,6.5,283,Valhalla Game Studios,M
Space Chimps,PS2,2008,Platform,Brash Entertainment,0.06,0.05,0,0.02,,,6.6,7,Red Tribe,E10+
Blades of Time,PS3,2012,Action,Konami Digital Entertainment,0.04,0.03,0.01,0.01,53,19,7.2,22,Gaijin Entertainment,M
Cold Winter,PS2,2005,Shooter,Vivendi Games,0.06,0.04,0,0.01,73,41,8.2,23,Swordfish Studios,M
Robot Alchemic Drive,PS2,2002,Action,Enix Corporation,0.03,0.03,0,0.01,79,21,8.2,13,Sandlot,T
Astro Boy,PS2,2004,Action,Sega,0.04,0.03,0,0.01,54,29,6.9,7,Sonic Team,E
ESPN NBA Basketball,PS2,2003,Sports,Sega,0.26,0.21,0,0.07,89,18,8.4,38,Visual Concepts,E
Akiba's Trip: Undead & Undressed,PS3,2013,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01,,,,,"",""
Dream C Club Zero,X360,2011,Simulation,D3Publisher,0,0,0.03,0,,,,,"",""
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0,0.12,68,20,7.2,105,Jupiter Corporation,E10+
Virtua Tennis 2009,X360,2009,Sports,Sega,0.12,0.18,0,0.03,70,43,6.2,15,Sumo Digital,E
Legend of Kay Anniversary,PS4,2015,Action,Nordic Games,0,0.02,0,0,62,22,6.4,11,"Neon Studios, Kaiko",E10+
Crash Bandicoot: The Huge Adventure,GBA,2002,Platform,Universal Interactive,0.95,0.7,0,0.08,78,18,7.9,27,Vicarious Visions,E
PDC World Championship Darts 2009,Wii,2009,Sports,Oxygen Interactive,0,0.01,0,0,,,,,"",""
Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega,0.05,0,0.09,0.01,66,13,8.2,29,"Sega, French-Bread",T
Ratatouille,PSP,2007,Action,THQ,0.22,0.27,0,0.16,64,7,7.1,7,Locomotive Games,E
Call of Duty: Ghosts,XOne,2013,Shooter,Activision,1.88,0.77,0,0.27,78,7,4.3,700,Infinity Ward,M
Super Famista 3,SNES,1994,Sports,Namco Bandai Games,0,0,0.39,0,,,,,"",""
Tiger Woods PGA Tour 2004,PS2,2003,Sports,Electronic Arts,1.18,0.34,0,0.1,89,23,8.8,40,EA Sports,E
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,2015,Action,Namco Bandai Games,0,0,0.11,0,,,,,"",""
Virtual Chess 64,N64,1998,Misc,Titus,0.05,0.01,0,0,,,,,"",""
wwe Smackdown vs. Raw 2006,PS2,,Fighting,N/A,1.57,1.02,0,0.41,,,,,"",""
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Strategy,Electronic Arts,0.14,0.15,0,0.06,,,,,"",""
Cabela's North American Adventures,PS2,2010,Sports,Activision,0.04,0.03,0,0.01,,,,,FUN Labs,T
My Street,PS2,2003,Misc,Sony Computer Entertainment,0.12,0.09,0,0.03,46,21,3.9,14,Idol Minds,E
RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0,0.01,,,,,"",""
Star Wars The Clone Wars: Lightsaber Duels,Wii,2008,Action,LucasArts,1.21,0.3,0,0.14,56,24,6.7,18,Krome Studios,T
Max Payne,XB,2001,Shooter,Take-Two Interactive,0.98,0.19,0,0.05,89,24,8.3,61,neo Software,M
Tsuyo Kiss 2 Portable,PSP,2010,Adventure,NetRevo,0,0,0.02,0,,,,,"",""
Twisted Metal (2012),PS3,2012,Action,Sony Computer Entertainment,0.67,0.07,0,0.08,,,,,"",""
Cabela's Trophy Bucks,Wii,2008,Sports,Activision Value,0.06,0,0,0,,,6,5,FUN Labs,T
Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0,0.16,57,51,5.5,102,Reflections Interactive,M
Tokimeki Memorial 4,PSP,2009,Adventure,Konami Digital Entertainment,0,0,0.08,0,,,,,"",""
World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,93,28,9,45,KCET,E
J-League Soccer: Prime Goal,SNES,1993,Sports,Namco Bandai Games,0,0,0.69,0,,,,,"",""
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,94,22,8.9,779,SquareSoft,T
SD Gundam Force: Showdown!,PS2,2004,Shooter,Namco Bandai Games,0.02,0.01,0,0,,,,,"",""
Armored Core: Last Raven Portable,PSP,2010,Simulation,From Software,0,0,0.03,0,,,,,From Software,T
FaceBreaker,X360,2008,Fighting,Electronic Arts,0.15,0.02,0,0.02,54,57,6.3,19,EA Canada,T
Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0,0.01,,,,,"",""
Jurassic Park: Operation Genesis,XB,2003,Simulation,Konami Digital Entertainment,0.05,0.01,0,0,69,21,8.8,19,Blue Tongue Entertainment,T
Whirl Tour,GC,2002,Sports,Vivendi Games,0.04,0.01,0,0,61,10,9,4,Papaya Studios,E
DuckTales: Remastered,PC,2013,Action,Capcom,0,0.01,0,0,66,6,7.6,152,WayForward,E
Dark Sector,X360,2008,Shooter,D3Publisher,0.22,0.2,0.01,0.05,72,71,7.5,147,Digital Extremes,M
Namco Museum: 50th Anniversary,XB,2005,Misc,Namco Bandai Games,0.13,0.04,0,0.01,62,23,,,Backbone Vancouver,E10+
Resident Evil Director's Cut,PS3,2006,Action,Capcom,0,0,0.05,0,,,,,"",""
Midnight Club II,XB,2003,Racing,Take-Two Interactive,0.42,0.06,0,0.02,86,33,7.6,12,Rockstar San Diego,T
Triple Play 2002,XB,2002,Sports,Electronic Arts,0.19,0.05,0,0.01,64,17,,,Pandemic Studios,E
Tetris Worlds,GBA,2001,Puzzle,THQ,1.25,0.39,0,0.06,65,10,,,3d6 Games,E
Prototype: Biohazard Bundle,XOne,2016,Action,Activision,0.01,0,0,0,56,4,3.1,14,Radical Entertainment,M
Diva Girls: Divas on Ice,DS,2009,Sports,505 Games,0.05,0,0,0,,,,,Arc System Works,E
Skylanders: SuperChargers,3DS,2015,Action,Activision,0.05,0.06,0,0.01,,,,,Vicarious Visions,E10+
Chuck E. Cheese's Sports Games,Wii,2011,Sports,UFO Interactive,0.02,0,0,0,,,,,UFO Interactive,E
Kingdom of Paradise,PSP,2005,Role-Playing,Sony Computer Entertainment,0.14,0,0,0.01,72,38,7.5,19,Climax Entertainment,T
Spider-Man 3,PC,2007,Platform,Activision,0.02,0,0,0,62,16,7.1,29,Beenox,T
The Getaway: Black Monday,PS2,2004,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,57,53,7.6,47,SCEE London Studio,M
Men in Black II: Alien Escape,GC,2003,Shooter,Infogrames,0.01,0,0,0,,,,,Atari,T
Godzilla Generations,DC,1998,Action,Sega,0,0,0.08,0,,,,,"",""
NBA Live 14,XOne,2013,Sports,Electronic Arts,0.16,0.02,0,0.02,36,14,3.1,88,EA Sports,E
Dynasty Warriors 2,PS2,2000,Action,THQ,0.24,0.19,0.34,0.06,75,17,8.8,24,Omega Force,T
Brothers In Arms: Road to Hill 30,XB,2005,Shooter,Ubisoft,0.49,0.14,0,0.02,88,64,8,69,Gearbox Software,M
Fantastic Four: Rise of the Silver Surfer,Wii,2007,Action,Take-Two Interactive,0.04,0.01,0,0,39,16,5.9,15,7 Studios,T
Winning Post World 2010,PS3,2010,Sports,Tecmo Koei,0,0,0.04,0,,,,,"",""
NHL 14,PS3,2013,Sports,Electronic Arts,0.28,0.17,0,0.09,80,22,6,79,Electronic Arts,E10+
LEGO Marvel Super Heroes,DS,2013,Action,Warner Bros. Interactive Entertainment,0.22,0.13,0,0.03,,,4.8,5,TT Games,E10+
Kikiite Hajimaru: Eigo Kaiwa Training - KikiTore,DS,2008,Misc,Benesse,0,0,0.01,0,,,,,"",""
Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.31,0.23,0,0.06,32,38,4.6,23,Ubisoft,T
The Godfather (US sales),XB,2006,Action,Electronic Arts,0.33,0.1,0,0.02,,,,,"",""
LEGO Star Wars III: The Clone Wars,DS,2011,Action,LucasArts,0.61,0.38,0,0.1,66,8,,,Traveller's Tales,E
Pinball Hall of Fame: The Gottlieb Collection,Wii,2006,Misc,System 3 Arcade Software,0.12,0,0,0.01,,,,,Farsight Studios,E
Army Men: Air Combat - The Elite Missions,GC,2003,Shooter,3DO,0.01,0,0,0,,,,,"",""
Jikkyou Powerful Pro Yakyuu 2014,PS3,2014,Sports,Konami Digital Entertainment,0,0,0.17,0,,,,,"",""
K-ON! Houkago Live!!,PSP,2010,Misc,Sega,0,0,0.25,0,,,,,"",""
Rugby Challenge 3,X360,2016,Sports,Alternative Software,0,0.02,0,0,,,,,Wicked Witch Software,E
Classic Dungeon: Fuyoku no Masoujin,PSP,2010,Role-Playing,Nippon Ichi Software,0,0,0.03,0,,,,,"",""
Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0,0,1.17,0,,,,,"",""
Gameboy Gallery,GB,1995,Misc,Nintendo,0,0,0.3,0,,,,,"",""
